"property_type","room_type","name","host_name","neighbourhood","host_identity_verified","city","latitude","longitude","accommodates","bathrooms","bedrooms","price","number_of_reviews","review_scores_rating","cancellation_policy"
"Apartment","Private room","540 Main Street, Apt 428","Yingyuan","Roosevelt Island","t","New York",40.76206,-73.94904,1,1.5,1,45,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Room for Female-Upper West Side","Jessica","Upper West Side","t","New York",40.78641,-73.97739,1,1.5,1,65,2,100,"flexible"
"Apartment","Private room","1 Full Size Bed with Bike Rental","Crystal","Manhattan","t","New York",40.72936,-73.97882,2,1,1,100,1,100,"moderate"
"Apartment","Entire home/apt","Central Park South Artist's Studio","Sarah","Manhattan","t","New York",40.76599,-73.98404,2,1,0,90,3,100,"strict_14_with_grace_period"
"Apartment","Private room","One Bedroom in Washington Heights","Lorraine","Washington Heights","t","New York",40.83358,-73.94113,1,1,1,45,2,100,"moderate"
"Apartment","Private room","Room w/ private bathroom, entrance","Albert","Williamsburg","t","Brooklyn",40.70669,-73.94943,2,1,1,85,1,100,"flexible"
"House","Private room","BRIGHT & QUIET BEDROOM IN CLINTON HILL BROWNSTONE","Lea","Brooklyn","t","Brooklyn",40.68552,-73.96481,1,1,1,40,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Deluxe Williamsburg Apartment","Joe","Williamsburg","t","Brooklyn",40.71691,-73.93953,4,1,2,200,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Room in quiet Brooklyn home","Benjamin","Brooklyn","t","Brooklyn",40.64637,-73.97863,1,1,1,24,1,100,"flexible"
"Apartment","Entire home/apt","Two Bedroom In Williamsburg","Michelle","Brooklyn","t","Brooklyn",40.72061,-73.94886,4,1,2,205,2,100,"flexible"
"Apartment","Private room","Williamsburg 2000sqft","Bradley","Brooklyn","t","Brooklyn",40.71712,-73.94671,6,1,1,477,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Sky VieW Doorman Gym Pool!5171","Jeremy & Elsa","Manhattan","t","New York",40.79569,-73.96583,5,1,2,275,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Sunny, quiet Crown Heights apt","Alex","Crown Heights","t","Brooklyn",40.67042,-73.95072,3,1,1,98,5,100,"flexible"
"Apartment","Entire home/apt","upper manhattan rivervie new studio","Piner","Manhattan","t","New York",40.82094,-73.95745,2,1,0,50,1,100,"flexible"
"Apartment","Private room","Cozy Room in heart of Crown Heights","Stephanie","Crown Heights","t","Brooklyn",40.67377,-73.95887,2,1,1,50,1,100,"strict_14_with_grace_period"
"House","Private room","Beautiful & spacious room, Brooklyn","Beatriz","Brooklyn","t","Brooklyn",40.63655,-73.95424,2,1,1,60,1,100,"flexible"
